airbnb_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
10568730,"Dupont,U St & 14th,Adams Morgan",34781425,Brad,"Dupont Circle, Connecticut Avenue,K Street",38.91737478,-77.03847707,"Entire home,apt",799,3,1,0.27,1,0
7457615,Beautiful 2BR Condo in Dupont,39057839,Matthew,"Dupont Circle, Connecticut Avenue,K Street",38.91397076,-77.03963420000001,"Entire home,apt",250,1,1,0.05,1,0
8300302,Sunny 2 Bedroom in Dupont,20464495,Monica,"Dupont Circle, Connecticut Avenue,K Street",38.91463839,-77.0441784,"Entire home,apt",150,2,2,0.1,2,0
16828556,"Top floor, bright, airy studio in heart of DC",6735622,Parinaz,"Dupont Circle, Connecticut Avenue,K Street",38.90854258,-77.04405943,"Entire home,apt",150,2,2,0.62,1,27
15027212,Private cozy apartment in Adams Morgan on U Street,5842998,Mike,"Dupont Circle, Connecticut Avenue,K Street",38.91518212,-77.03978675,"Entire home,apt",50,1,8,1.0,1,94
16532376,Modern DuPont Condo-New Listing!!!!,34374862,Lee & Carly,"Dupont Circle, Connecticut Avenue,K Street",38.91448598,-77.03949743,"Entire home,apt",473,2,2,0.55,1,63
16449357,"Hosting for the Inauguration , Million Woman March",107896506,Blaine,"Dupont Circle, Connecticut Avenue,K Street",38.91281992,-77.04342308,"Entire home,apt",350,1,0,0.0,1,90
16794336,"Bright, spacious 1 bedroom - Dupont Circle",4315340,Shreyas,"Dupont Circle, Connecticut Avenue,K Street",38.9093619,-77.04808383,"Entire home,apt",300,3,0,0.0,1,0
6177419,"Lux 1 Bedroom Apt in West End w,pool",9419684,Mike,"Dupont Circle, Connecticut Avenue,K Street",38.90803698,-77.04909909999999,"Entire home,apt",246,3,1,0.06,38,143
11911646,U St Dupont Adams Morgan Townhouse4,5487930,Mark,"Dupont Circle, Connecticut Avenue,K Street",38.9181941,-77.03900101,Private room,105,3,3,0.23,13,343
16725978,Stunning & Historic DC Row House. Live in Luxury!,88939509,Renee,"Dupont Circle, Connecticut Avenue,K Street",38.91328828,-77.03810990000001,"Entire home,apt",799,1,8,4.44,1,73
8924942,Modern DuPont Garden Apartment #10,39930655,Nicole,"Dupont Circle, Connecticut Avenue,K Street",38.9163963,-77.03733229,"Entire home,apt",109,1,109,5.85,24,317
4538581,Room in beautiful Dupont apartment,1465858,Russell,"Dupont Circle, Connecticut Avenue,K Street",38.91506817,-77.03814200000001,Private room,100,2,12,0.4,1,0
9057655,Private room for sharing,46904118,Jason,"Dupont Circle, Connecticut Avenue,K Street",38.91530448,-77.04367142,Private room,90,1,48,2.62,1,346
16236713,Historic U Street Row House,24599239,Noah,"Dupont Circle, Connecticut Avenue,K Street",38.9184985,-77.03810984,"Entire home,apt",1000,3,0,0.0,1,83
16335002,"2 Bed Penthouse 14th,Logan Circle",1638940,Faisal,"Dupont Circle, Connecticut Avenue,K Street",38.91175534,-77.03545263,"Entire home,apt",2000,3,0,0.0,1,179
7783181,"Artist's Dupont Top Floor 1B, Best Location in DC!",27550562,Amber,"Dupont Circle, Connecticut Avenue,K Street",38.91075427,-77.03797237,"Entire home,apt",150,1,61,3.55,1,1
2964999,"Dupont, Adams Morgan U Townhouse 1",5487930,Mark,"Dupont Circle, Connecticut Avenue,K Street",38.91508629,-77.03956398,Private room,110,3,7,0.27,13,287
9486714,Luxury 1 Bedroom Apt. Dupont Circle,49169925,Sumer,"Dupont Circle, Connecticut Avenue,K Street",38.9086089,-77.04773979,"Entire home,apt",100,1,0,0.0,1,0
16641,Dupont Circle Convenience,32067,Melissa,"Dupont Circle, Connecticut Avenue,K Street",38.91380862,-77.04538348,"Entire home,apt",150,2,54,0.63,4,339
8503628,"Spectacular 3 Bed,2.5 Bath House",42933839,Clayton,"Dupont Circle, Connecticut Avenue,K Street",38.90708453,-77.04646548,"Entire home,apt",599,2,46,2.45,2,335
5690765,Dupont Private Room Meridian Manor,1386702,John,"Dupont Circle, Connecticut Avenue,K Street",38.91763672,-77.03647158,Private room,99,2,3,0.14,2,37
13973810,Simple and Cozy in DuPont Circle,49573814,Kai,"Dupont Circle, Connecticut Avenue,K Street",38.91551045,-77.03711659999999,"Entire home,apt",125,2,19,4.42,1,228
12410585,Kick-Ass Studio+ in Prime Location!,25313317,Mike,"Dupont Circle, Connecticut Avenue,K Street",38.91887733,-77.03587739,"Entire home,apt",98,2,3,3.0,1,20
6993951,Crafty Nook Apartment,36300285,Catherine,"Dupont Circle, Connecticut Avenue,K Street",38.90801638,-77.03884192,"Entire home,apt",99,2,15,1.7,1,0
18398973,Logan Circle Gem; Affordability at 14th St!,21493494,RJ Management LLC,"Dupont Circle, Connecticut Avenue,K Street",38.91271128,-77.03483712,"Entire home,apt",141,2,1,1.0,13,158
14104045,Alden's Room in DuPont,3662673,Alden,"Dupont Circle, Connecticut Avenue,K Street",38.91309691,-77.0415058,Private room,50,1,2,0.21,1,0
16037250,"Washington, DC Apartment in the Heart of it All",30098635,Geoffrey,"Dupont Circle, Connecticut Avenue,K Street",38.91288411,-77.03472838,"Entire home,apt",234,2,2,0.55,1,6
15054199,"Charming rowhouse in Dupont,West End",21364899,Celeste,"Dupont Circle, Connecticut Avenue,K Street",38.90837417,-77.04668035,"Entire home,apt",200,1,8,1.83,1,60
6698326,Privacy in historic Dupont rowhouse,7810862,Rae,"Dupont Circle, Connecticut Avenue,K Street",38.91697451,-77.03694304,"Entire home,apt",165,5,6,0.26,1,261
16844228,Rooftop Views of Capital and Washington Monument,112150420,Spencer,"Dupont Circle, Connecticut Avenue,K Street",38.91824593,-77.03457051,"Entire home,apt",333,2,0,0.0,1,0
13841654,Marriott Washington DC Luxury suite sleeps 4,19056065,Tony,"Dupont Circle, Connecticut Avenue,K Street",38.90353521,-77.04079589,"Entire home,apt",220,1,2,0.55,1,180
15938793,Bright studio near Dupont,19929914,Allyce,"Dupont Circle, Connecticut Avenue,K Street",38.91039157,-77.04113559999999,"Entire home,apt",109,3,5,1.15,1,35
15219892,Top Floor Bohemian Artist Retreat,4070624,Georgiana,"Dupont Circle, Connecticut Avenue,K Street",38.91542038,-77.04303993,"Entire home,apt",120,2,6,0.9,1,353
14630055,Neighborhood Studio In Heart Of Dupont,71981250,Johnny,"Dupont Circle, Connecticut Avenue,K Street",38.91504413,-77.04145596,"Entire home,apt",110,1,42,5.32,1,130
9020889,Spacious 1 bedroom in Dupont Circle,14431941,Ashaya,"Dupont Circle, Connecticut Avenue,K Street",38.9062155,-77.04625842,"Entire home,apt",120,2,2,0.11,1,0
14236814,"Corner studio, close to everything",32433619,Andrew,"Dupont Circle, Connecticut Avenue,K Street",38.91561448,-77.03880835,"Entire home,apt",800,1,0,0.0,1,89
13777395,"Luxury 2 Bedroom Apt, Private Room",50391241,Rachel,"Dupont Circle, Connecticut Avenue,K Street",38.90732378,-77.04564746,Private room,135,1,5,0.54,2,17
10435035,"Lovely Apt in Dupont,West End",29392798,SofÃ­a,"Dupont Circle, Connecticut Avenue,K Street",38.90780093,-77.04618035,Private room,100,1,0,0.0,1,0
6763366,Junior One Bedroom in DuPont Circle,5750426,Ebru,"Dupont Circle, Connecticut Avenue,K Street",38.90927246,-77.04002963,"Entire home,apt",96,3,10,0.44,1,0
2694647,Sundrenched 1BR Dupont Circle,1864688,Blu Properties,"Dupont Circle, Connecticut Avenue,K Street",38.9133957,-77.04258026,"Entire home,apt",135,1,102,3.07,12,313
2274224,Cute  studio blocks to white house,11610968,Justin,"Dupont Circle, Connecticut Avenue,K Street",38.91504336,-77.03895123,"Entire home,apt",103,2,50,3.24,1,45
1716922,Luxury Apartment in Downtown,7025353,Adam,"Dupont Circle, Connecticut Avenue,K Street",38.91050171,-77.03488363,"Entire home,apt",175,1,300,6.85,4,287
12530488,1BR in the center of DC,52105252,Andrew,"Dupont Circle, Connecticut Avenue,K Street",38.91270892,-77.03671069,"Entire home,apt",180,1,7,0.55,1,0
1716843,"Newly Renovated Apt, centre of DC",7025353,Adam,"Dupont Circle, Connecticut Avenue,K Street",38.90642096,-77.03780816,"Entire home,apt",175,1,311,7.07,4,301
801699,Hip Luxury Loft - near Conv. Center,4219994,Karen,"Dupont Circle, Connecticut Avenue,K Street",38.91022276,-77.04116392,"Entire home,apt",285,2,24,0.51,1,333
16268194,Large Modern DuPont Pad - Perfect for Inaguration,20183319,Lucas,"Dupont Circle, Connecticut Avenue,K Street",38.91063397,-77.03738784,"Entire home,apt",550,2,0,0.0,1,0
11284214,"Artful Dupont Dwelling w, Metro Access & WholeFood",21493494,RJ Management LLC,"Dupont Circle, Connecticut Avenue,K Street",38.90781484,-77.03965545,"Entire home,apt",165,2,37,2.58,13,335
10107717,Designer Apt in Historic Dupont,5088485,Kerra,"Dupont Circle, Connecticut Avenue,K Street",38.91467936,-77.04100348,"Entire home,apt",249,3,18,1.09,1,58
16133467,Charming Apartment in Heart of DC,22332976,M. Reilly,"Dupont Circle, Connecticut Avenue,K Street",38.91089231,-77.03576568,"Entire home,apt",215,1,3,0.82,2,167
15641937,Classy Georgetown Master Bedroom,46194019,Carmelita,"Dupont Circle, Connecticut Avenue,K Street",38.90259828,-77.04877055,Private room,75,1,6,0.98,1,163
1977530,Cozy & charmed in AMAZING location!,35004,Ati,"Dupont Circle, Connecticut Avenue,K Street",38.91736396,-77.03812484,"Entire home,apt",89,2,129,3.11,2,41
4469244,Dupont Circle Elegance,1369442,Ted,"Dupont Circle, Connecticut Avenue,K Street",38.91118683,-77.04963669,Private room,185,1,2,0.09,3,334
7942513,Near metro. Near night life. 1 BR.,41885785,Adam,"Dupont Circle, Connecticut Avenue,K Street",38.91157591,-77.03702602,"Entire home,apt",99,1,0,0.0,1,0
